MDLYR_DT,VI_MFR_CD,VI_MFR_NM,GBE_INDX_NUM,OV_ID,VC_CNFG_NUM,CL_NM,CLS_TYP_CD,GBE_CID_MSR,GBE_PLC_IND_CD,VC_RTD_HP_MSR,ECS_CD,ECS_CD_0,ECS_CD_1,ECS_CD_2,ECS_CD_3,EVCS_CD,TRNS,DRV_SYS_CD,TOD_CD,VC_DSN_ETW_MSR,VC_CMPRSN_RAT_MSR,VC_AXLE_RAT_MSR,VC_NV_RAT_MSR,TPF_ACHP_IND_CD,TPF_DYNO_HP_MSR,SIL_CD,TST_PRC_CD,TST_PRPS_CD,TST_NUM_ID,Test Originator,VEH_FL_TYP_CD,CH_CD,AVRG_CD,GT_WT_MSR,CMYT_HC_FE_MSR,CMYT_CO_FE_MSR,CMYT_CO2_FE_MSR,CMYT_NOX_MSR,CMYT_PM_MSR,GT_RND_ADJ_QTY,TPF_DYN_TRK_A_MSR,TPF_DYN_TRK_B_MSR,TPF_DYN_TRK_C_MSR,TPF_EDYN_TRK_A_MSR,TPF_EDYN_TRK_B_MSR,TPF_EDYN_TRK_C_MSR,ENG_CD,EF_ID,VC_CYL_CNT,TPF_MFR_CSTDN_MSR
2001,20,Chrysler LLC,15,V0AN1-8298,3,DAKOTA PICKUP 4WD,T,239,N,175,,,,,,,M5,R,2,4000,9.1,3.21,29.7,Y,11.4,2,2,31,1031194,MFR,6,C,E,0.33,0.037,0.59,532,0.03,,16.7,,,,,,,NM-100,1CRXT03.92D1,6,
2001,20,Chrysler LLC,15,V0AN1-8298,3,DAKOTA PICKUP 4WD,T,239,N,175,,,,,,,M5,R,2,4000,9.1,3.21,29.7,Y,11.4,2,3,31,1031195,MFR,6,H,E,0.33,0.002,0,316,,,28.1,,,,,,,NM-100,1CRXT03.92D1,6,14.45
2001,20,Chrysler LLC,20,V9BR1-6681,0,RAM 1500 PICKUP 2WD,T,318,N,230,20,99,,,,102,L4,R,2,5250,9.1,3.55,28.2,Y,13.6,1,2,31,1023646,MFR,6,C,,,0.213,1.73,612,0.14,,14.4,,,,,,,FA-300,1CRXT05.96B8,8,15.50
2001,20,Chrysler LLC,20,V9BR1-6681,0,RAM 1500 PICKUP 2WD,T,318,N,230,20,99,,,,102,L4,R,2,5250,9.1,3.55,28.2,Y,13.6,1,3,31,1023647,MFR,6,H,,,0.027,0.08,372,,,23.8,,,,,,,FA-300,1CRXT05.96B8,8,15.50
2001,20,Chrysler LLC,20,V9BR1-6681,1,RAM 1500 PICKUP 2WD,T,318,N,230,20,99,,,,102,L4,R,2,5500,9.1,3.55,28.2,Y,13.8,1,2,1,1026126,MFR,6,C,,,0.195,1.68,636,0.15,,13.9,,,,,,,FA-300,1CRXT05.96B8,8,16.06
2001,20,Chrysler LLC,20,V9BR1-6681,1,RAM 1500 PICKUP 2WD,T,318,N,230,20,99,,,,102,L4,R,2,5500,9.1,3.55,28.2,Y,13.8,1,3,1,1026127,MFR,6,H,,,0.028,0.10,386,,,23.0,,,,,,,FA-300,1CRXT05.96B8,8,16.06
2001,20,Chrysler LLC,20,V9BR1-6681,2,RAM 1500 PICKUP 2WD,T,318,N,230,99,,,,,102,L4,R,2,4750,9.1,3.55,28.2,Y,13.9,1,2,1,1026310,MFR,6,C,,,0.209,1.68,606,0.14,,14.6,,,,,,,FA-300,1CRXT05.95B8,8,14.38
2001,20,Chrysler LLC,20,V9BR1-6681,2,RAM 1500 PICKUP 2WD,T,318,N,230,99,,,,,102,L4,R,2,4750,9.1,3.55,28.2,Y,13.9,1,3,1,1026311,MFR,6,H,,,0.020,0.07,377,,,23.6,,,,,,,FA-300,1CRXT05.95B8,8,14.38
2001,20,Chrysler LLC,20,V9BR1-3140,0,RAM 1500 PICKUP 2WD,T,318,N,230,20,99,,,,102,M5,R,2,4750,9.1,3.21,28.0,Y,14.1,2,2,31,1023498,MFR,6,C,D,0.35,0.113,1.20,616,0.36,,14.3,,,,,,,FM-100,1CRXT05.95B8,8,15.39
2001,20,Chrysler LLC,20,V9BR1-3140,0,RAM 1500 PICKUP 2WD,T,318,N,230,20,99,,,,102,M5,R,2,4750,9.1,3.21,28.0,Y,14.1,2,3,31,1023499,MFR,6,H,D,0.35,0.013,0.09,367,,,24.2,,,,,,,FM-100,1CRXT05.95B8,8,15.39
2001,20,Chrysler LLC,20,V9BR1-3140,1,RAM 1500 PICKUP 2WD,T,318,N,230,20,99,,,,102,M5,R,2,4750,9.1,3.21,28.0,Y,14.1,3,2,31,1023500,MFR,6,C,D,0.65,0.133,1.25,552,0.35,,16.0,,,,,,,FM-100,1CRXT05.95B8,8,15.39
2001,20,Chrysler LLC,20,V9BR1-3140,1,RAM 1500 PICKUP 2WD,T,318,N,230,20,99,,,,102,M5,R,2,4750,9.1,3.21,28.0,Y,14.1,3,3,31,1023501,MFR,6,H,D,0.65,0.011,0.05,341,,,26.0,,,,,,,FM-100,1CRXT05.95B8,8,15.39
2001,20,Chrysler LLC,20,V9BR1-3140,4,RAM 1500 PICKUP 2WD,T,318,N,230,20,99,,,,102,M5,R,2,5000,9.1,3.21,28.0,Y,14.3,2,2,31,1023494,MFR,6,C,E,0.35,0.130,1.23,617,0.44,,14.3,,,,,,,FM-100,1CRXT05.95B8,8,16.06
2001,20,Chrysler LLC,20,V9BR1-3140,4,RAM 1500 PICKUP 2WD,T,318,N,230,20,99,,,,102,M5,R,2,5000,9.1,3.21,28.0,Y,14.3,2,3,31,1023495,MFR,6,H,E,0.35,0.013,0.14,368,,,24.1,,,,,,,FM-100,1CRXT05.95B8,8,16.06
