,book_tod,book_dow,book_category,book_staff,last_category,last_staff,last_day_services,last_receipt_tot,last_dow,last_tod,last_noshow,last_prod_flag,last_cumrev,last_cumbook,last_cumstyle,last_cumcolor,last_cumprod,last_cumcancel,last_cumnoshow,noshow,recency
135,evening,Tuesday,STYLE,JJ,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
136,evening,Wednesday,STYLE,JJ,STYLE,JJ,1,40,Tuesday,evening,0,0,40,1,1,0,0,0,0,0,29
137,,Wednesday,STYLE,JJ,STYLE,JJ,1,60,Wednesday,evening,0,0,100,2,2,0,0,0,0,1,28
138,afternoon,Tuesday,STYLE,JJ,STYLE,JJ,0,0,Wednesday,,1,0,100,3,3,0,0,1,1,0,6
139,afternoon,Tuesday,STYLE,SINEAD,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
140,evening,Tuesday,STYLE,SINEAD,STYLE,SINEAD,1,70,Tuesday,afternoon,0,0,70,1,1,0,0,0,0,0,35
141,afternoon,Wednesday,STYLE,SINEAD,STYLE,SINEAD,1,154.25,Tuesday,evening,0,1,160,2,2,0,1,0,0,0,22
142,afternoon,Tuesday,STYLE,BECKY,STYLE,SINEAD,1,90,Wednesday,afternoon,0,0,250,3,3,0,1,0,0,0,48
143,morning,Thursday,STYLE,BECKY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
144,morning,Thursday,STYLE,JJ,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
145,morning,Saturday,STYLE,SINEAD,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
146,morning,Sunday,STYLE,BECKY,STYLE,SINEAD,1,35,Saturday,morning,0,0,35,1,1,0,0,0,0,0,43
147,morning,Saturday,STYLE,BECKY,STYLE,BECKY,1,50,Sunday,morning,0,0,85,2,2,0,0,0,0,0,41
148,afternoon,Thursday,STYLE,KELLY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
149,afternoon,Tuesday,STYLE,JJ,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
150,morning,Friday,STYLE,JJ,STYLE,JJ,1,82,Tuesday,afternoon,0,0,82,1,1,0,0,0,0,0,94
151,morning,Thursday,STYLE,JJ,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
152,afternoon,Tuesday,STYLE,JJ,STYLE,JJ,1,82,Thursday,morning,0,0,82,1,1,0,0,0,0,0,54
153,afternoon,Wednesday,STYLE,SINEAD,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
154,afternoon,Wednesday,COLOR,SINEAD,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
155,morning,Wednesday,MISC,SINEAD,COLOR,SINEAD,2,115,Wednesday,afternoon,0,1,115,2,1,1,2,0,0,0,35
156,afternoon,Friday,STYLE,BECKY,MISC,SINEAD,1,0,Wednesday,morning,0,0,115,3,1,1,2,0,0,0,37
157,evening,Thursday,STYLE,SINEAD,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
158,afternoon,Saturday,STYLE,SINEAD,STYLE,SINEAD,1,35,Thursday,evening,0,0,35,1,1,0,0,0,0,0,23
159,morning,Friday,STYLE,BECKY,STYLE,SINEAD,1,35,Saturday,afternoon,0,0,70,2,2,0,0,0,0,0,20
160,evening,Thursday,STYLE,BECKY,STYLE,BECKY,1,50,Friday,morning,0,0,120,3,3,0,0,0,0,0,20
161,morning,Thursday,STYLE,BECKY,STYLE,BECKY,1,50,Thursday,evening,0,0,170,4,4,0,0,0,0,0,21
162,,Tuesday,STYLE,JJ,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
163,afternoon,Tuesday,STYLE,JJ,STYLE,JJ,0,0,Tuesday,,0,0,0,1,1,0,0,1,0,0,21
164,afternoon,Tuesday,STYLE,JJ,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
165,morning,Thursday,STYLE,JJ,STYLE,JJ,1,82,Tuesday,afternoon,0,0,82,1,1,0,0,0,0,0,37
166,afternoon,Sunday,STYLE,JJ,STYLE,JJ,1,102,Thursday,morning,0,0,184,2,2,0,0,0,0,0,38
167,afternoon,Saturday,STYLE,JJ,STYLE,JJ,1,125.4,Sunday,afternoon,0,1,286,3,3,0,1,0,0,0,20
168,,Saturday,STYLE,JJ,STYLE,JJ,1,125.4,Sunday,afternoon,0,1,286,3,3,0,1,0,0,0,20
169,evening,Thursday,STYLE,SINEAD,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
170,evening,Thursday,STYLE,SINEAD,STYLE,SINEAD,1,35,Thursday,evening,0,0,35,1,1,0,0,0,0,0,28
171,evening,Wednesday,STYLE,SINEAD,STYLE,SINEAD,1,55,Thursday,evening,0,0,90,2,2,0,0,0,0,0,27
172,afternoon,Tuesday,STYLE,JJ,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
173,morning,Tuesday,STYLE,JJ,STYLE,JJ,1,82,Tuesday,afternoon,0,0,82,1,1,0,0,0,0,0,42
174,morning,Tuesday,STYLE,JJ,STYLE,JJ,1,102,Tuesday,morning,0,0,184,2,2,0,0,0,0,0,49
175,morning,Thursday,STYLE,JJ,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
176,afternoon,Thursday,STYLE,JJ,STYLE,JJ,1,82,Thursday,morning,0,0,82,1,1,0,0,0,0,0,63
