"Rk","Gm#","Date","","Tm"," ","Opp","W/L","R","RA","Inn","W-L","Rank","GB","Win","Loss","Save","Time","D/N","Attendance","Streak"
"58","58","Tuesday, Jun 4","boxscore","NYY","","CLE","W","4","3","","33-25","2","2.5","Phelps","Kazmir","Rivera","3:14","N","36,208","++"
"59","59","Wednesday, Jun 5","boxscore","NYY","","CLE","W","6","4","","34-25","2","1.5","Sabathia","Kluber","","2:42","D","42,477","+++"
"60","60","Thursday, Jun 6","boxscore","NYY","@","SEA","W","6","1","","35-25","2","1.5","Hughes","Harang","","2:54","N","18,779","++++"
"61","61","Friday, Jun 7","boxscore","NYY","@","SEA","L","1","4","","35-26","2","2.0","Bonderman","Kuroda","Wilhelmsen","3:06","N","26,251","-"
"62","62","Saturday, Jun 8","boxscore","NYY","@","SEA","W","3","1","","36-26","2","1.5","Pettitte","Saunders","Rivera","2:47","D","38,169","+"
"63","63","Sunday, Jun 9","boxscore","NYY","@","SEA","W","2","1","","37-26","2","1.5","Robertson","Medina","Rivera","3:12","D","43,392","++"
"64","64","Tuesday, Jun 11","boxscore","NYY","@","OAK","L","4","6","","37-27","2","2.0","Colon","Sabathia","Balfour","3:07","N","27,118","-"
"65","65","Wednesday, Jun 12","boxscore","NYY","@","OAK","L","2","5","","37-28","2","3.0","Straily","Hughes","Balfour","3:07","N","25,176","--"
"66","66","Thursday, Jun 13","boxscore","NYY","@","OAK","L-wo","2","3","18","37-29","3","3.0","Chavez","Claiborne","","5:35","D","27,569","---"
"67","67","Friday, Jun 14","boxscore","NYY","@","LAA","L","2","5","","37-30","3","3.0","Wilson","Pettitte","Frieri","2:53","N","40,621","----"
"68","68","Saturday, Jun 15","boxscore","NYY","@","LAA","L","2","6","","37-31","3","4.0","Hanson","Phelps","","3:10","D","40,486","-----"
"69","69","Sunday, Jun 16","boxscore","NYY","@","LAA","W","6","5","","38-31","3","3.0","Sabathia","Weaver","Rivera","2:58","D","41,204","+"
"70","70","Wednesday, Jun 19 (1)","boxscore","NYY","","LAD","W","6","4","","39-31","3","3.5","Kuroda","Ryu","Rivera","3:09","D","40,604","++"
"71","71","Wednesday, Jun 19 (2)","boxscore","NYY","","LAD","L","0","6","","39-32","3","3.5","Capuano","Hughes","","2:39","N","41,320","-"
"72","72","Thursday, Jun 20","boxscore","NYY","","TBR","L","3","8","","39-33","3","3.5","Moore","Pettitte","","3:14","N","37,649","--"
"73","73","Friday, Jun 21","boxscore","NYY","","TBR","W","6","2","","40-33","3","3.5","Phelps","Hernandez","","2:54","N","41,123","+"
"74","74","Saturday, Jun 22","boxscore","NYY","","TBR","W","7","5","","41-33","3","2.5","Sabathia","Peralta","Rivera","3:22","D","46,013","++"
"75","75","Sunday, Jun 23","boxscore","NYY","","TBR","L","1","3","","41-34","3","2.5","Archer","Nova","Rodney","3:08","D","46,054","-"
"76","76","Tuesday, Jun 25","boxscore","NYY","","TEX","W-wo","4","3","","42-34","2","2.5","Rivera","Scheppers","","3:05","N","41,674","+"
"77","77","Wednesday, Jun 26","boxscore","NYY","","TEX","L","5","8","","42-35","2","3.5","Grimm","Pettitte","Nathan","3:25","N","38,264","-"
