main_category_en,additives_n,ingredients_from_palm_oil_n,energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,sodium_100g
Salty snacks,1.0,0.0,2126.0,26.8,2.1,59.8,2.8,3.7,5.2,0.956692913386
Salty snacks,4.0,0.0,2095.0,26.6,2.1,57.1,4.5,4.6,6.1,0.512
Desserts,2.0,0.0,952.0,10.6,6.82,28.8,21.2,1.52,3.03,0.0833
Plant-based foods and beverages,14.0,0.0,1590.0,5.17,2.59,70.7,10.3,1.72,10.3,0.81
Groceries,1.0,0.0,2900.0,76.9,11.5,0.0,0.0,0.0,0.0,0.538
Groceries,0.0,0.0,1110.0,23.3,3.33,13.3,6.67,0.0,0.0,0.667
Groceries,1.0,0.0,2900.0,76.9,11.5,0.0,0.0,0.0,0.0,0.538
Plant-based foods and beverages,13.0,0.0,1600.0,5.45,2.73,70.9,10.9,1.82,10.9,0.836
Plant-based foods and beverages,13.0,0.0,1600.0,5.45,2.73,70.9,10.9,1.82,10.9,0.836
Desserts,5.0,0.0,454.0,3.26,1.63,19.6,13.0,1.09,1.09,0.12
Plant-based foods and beverages,10.0,0.0,1046.0,2.0,1.0,49.0,7.0,2.0,9.0,0.61
Groceries,0.0,0.0,494.0,0.0,0.0,29.4,23.5,0.0,0.0,0.941
Sugary snacks,0.0,0.0,2300.0,47.5,27.5,37.5,20.0,12.5,10.0,0.0
Sugary snacks,0.0,0.0,2300.0,50.0,30.0,35.0,12.5,15.0,10.0,0.0
Beverages,1.0,0.0,401.0,2.08,1.46,15.0,14.2,0.417,4.17,0.0917
Dairies,0.0,0.0,246.0,0.0,0.0,5.88,4.71,0.0,8.24,0.0588
Meats,3.0,0.0,450.0,3.57,0.0,3.57,0.0,0.0,17.9,0.643
Groceries,0.0,0.0,201.0,2.0,0.0,8.0,5.6,1.6,1.6,0.344
Plant-based foods and beverages,0.0,0.0,3350.0,93.3,13.3,0.0,0.0,0.0,0.0,0.0
Sugary snacks,3.0,0.0,1810.0,13.3,6.67,76.7,26.7,3.33,6.67,0.233
Salty snacks,0.0,0.0,2240.0,28.6,1.79,60.7,10.7,10.7,3.57,0.5
Sugary snacks,8.0,0.0,1670.0,7.5,7.5,85.0,55.0,0.0,0.0,0.0
Meats,0.0,0.0,840.0,12.7,5.6,0.0,0.0,0.0,21.6,0.06
Plant-based foods and beverages,0.0,0.0,1147.0,0.8,0.2,63.6,50.2,1.9,1.3,0.00393700787402
Plant-based foods and beverages,0.0,0.0,1147.0,0.8,0.2,63.6,50.2,1.9,1.3,0.00393700787402
Dairies,0.0,0.0,227.0,2.08,1.25,5.42,5.0,0.0,3.33,0.0521
Plant-based foods and beverages,0.0,0.0,3590.0,100.0,85.7,0.0,0.0,0.0,0.0,0.0
Meals,0.0,0.0,1120.0,7.26,3.58,39.4,2.32,3.16,9.05,0.358
Salty snacks,3.0,0.0,1790.0,10.7,0.0,71.4,0.0,0.0,7.14,1.21
Plant-based foods and beverages,0.0,0.0,242.0,0.0,0.0,13.1,13.1,0.7,0.3,0.0
Plant-based foods and beverages,0.0,0.0,242.0,0.1,0.0,13.1,13.1,0.8,0.4,0.001
Plant-based foods and beverages,0.0,0.0,201.0,0.8,0.0,10.4,2.4,1.6,0.8,0.144
Groceries,1.0,0.0,126.0,0.1,0.0,5.6,5.6,1.2,1.19,0.393700787402
Plant-based foods and beverages,1.0,0.0,88.0,0.5,0.0,3.0,0.0,0.9,1.2,0.0393700787402
Plant-based foods and beverages,1.0,0.0,195.0,0.1,0.0,10.5,10.5,1.0,0.3,0.0394
Plant-based foods and beverages,1.0,0.0,88.0,0.1,0.0,3.4,3.4,0.8,1.2,0.0393700787402
Plant-based foods and beverages,0.0,0.0,242.0,0.0,0.0,13.1,13.1,0.7,0.3,0.0
Plant-based foods and beverages,1.0,0.0,21.0,0.1,0.0,3.4,3.1,0.8,1.2,0.0393700787402
Plant-based foods and beverages,1.0,0.0,80.0,0.1,0.0,3.0,3.0,0.8,1.1,0.0511811023622
Plant-based foods and beverages,3.0,0.0,1490.0,1.79,0.0,73.2,1.79,3.57,12.5,0.0
Plant-based foods and beverages,3.0,0.0,1490.0,1.79,0.0,73.2,1.79,3.57,12.5,0.0
Salty snacks,3.0,0.0,1890.0,14.3,3.57,66.7,0.0,2.38,14.3,0.833
Sugary snacks,11.0,0.0,1740.0,20.8,11.3,54.7,28.3,0.0,3.77,0.415
Brownie,8.0,0.0,1830.0,18.8,6.25,64.6,35.4,2.08,4.17,0.271
Dairies,0.0,0.0,1225.0,23.0,16.3,1.0,1.0,0.0,21.0,0.48
Beverages,2.0,0.0,157.0,2.08,2.08,3.75,3.75,0.0,0.0,0.0187
Soymilk,1.0,0.0,231.0,1.48,0.212,7.63,6.78,0.424,2.54,0.0487
Beverages,2.0,0.0,184.0,1.4,0.2,4.4,3.2,0.8,2.8,0.036
Beverages,2.0,0.0,234.0,1.4,0.2,8.8,7.2,0.8,2.8,0.034
Genoa-salami,0.0,0.0,1490.0,25.0,10.7,0.0,0.0,0.0,28.6,1.71
Plant-based foods and beverages,5.0,1.0,1080.0,4.0,1.3,44.0,3.4,3.5,9.2,0.295275590551
Plant-based foods and beverages,2.0,0.0,121.0,0.0,0.0,5.79,2.48,1.65,0.826,0.223
Plant-based foods and beverages,1.0,0.0,155.0,0.0,0.0,7.44,3.31,2.48,1.65,0.19
Sugary snacks,2.0,0.0,500.0,2.72,1.63,21.7,14.1,1.09,1.09,0.136
Popping-corn,3.0,0.0,1590.0,14.3,5.95,61.9,0.0,9.52,9.52,0.667
Spreads,8.0,0.0,1490.0,35.7,10.7,0.0,0.0,0.0,0.0,0.679
Spreads,5.0,0.0,2090.0,50.0,14.3,0.0,0.0,0.0,0.0,0.714
Sugary snacks,2.0,0.0,1880.0,17.5,10.0,72.5,45.0,2.5,5.0,0.2
Sugary snacks,2.0,0.0,2040.0,24.3,13.5,67.6,54.1,2.7,5.41,0.162
Salty snacks,2.0,0.0,1640.0,3.57,0.0,82.1,3.57,3.57,7.14,1.61
Groceries,5.0,0.0,491.0,7.35,2.94,14.7,2.94,2.94,2.94,0.824
Salty snacks,0.0,0.0,2090.0,21.4,1.79,67.9,0.0,3.57,7.14,0.286
Salty snacks,9.0,0.0,2220.0,28.3,3.53,63.6,3.53,7.07,7.07,0.636
Salsa,0.0,0.0,42.0,0.0,0.0,2.0,1.0,1.0,1.0,0.23
Salty snacks,0.0,0.0,2390.0,35.7,5.36,53.6,3.57,3.57,7.14,1.25
Salty snacks,0.0,0.0,2690.0,35.7,5.36,53.6,3.57,3.57,7.14,0.5
Plant-based foods and beverages,2.0,0.0,1520.0,0.909,0.0,70.9,0.0,3.64,12.7,0.0545
Plant-based foods and beverages,0.0,0.0,2390.0,46.4,8.93,32.1,7.14,3.57,17.9,0.161
Plant-based foods and beverages,0.0,0.0,2650.0,46.7,6.67,30.0,10.0,10.0,20.0,0.733
Plant-based foods and beverages,0.0,0.0,1540.0,1.54,0.0,78.5,4.62,3.08,12.3,0.0
Garlic-mashed-potatoes,10.0,0.0,1590.0,6.9,3.45,69.0,6.9,3.45,10.3,1.93
Mashed-potatoes,0.0,0.0,1460.0,4.35,0.0,73.9,4.35,8.7,8.7,1.17
Sugary snacks,1.0,0.0,2056.0,21.0,13.0,69.0,36.0,1.7,6.1,0.204724409449
Plant-based foods and beverages,3.0,0.0,1490.0,7.14,1.79,67.9,0.0,10.7,14.3,0.268
Plant-based foods and beverages,3.0,0.0,1700.0,9.26,3.7,77.8,33.3,3.7,7.41,0.741
Plant-based foods and beverages,4.0,0.0,1700.0,5.56,3.7,85.2,44.4,3.7,3.7,0.815
Plant-based foods and beverages,4.0,0.0,1700.0,5.56,3.7,85.2,44.4,3.7,3.7,0.741
Sugary snacks,4.0,0.0,586.0,5.0,1.5,22.0,9.0,1.0,1.0,0.12
Salty snacks,2.0,0.0,1830.0,15.6,0.0,75.0,6.25,6.25,6.25,0.812
Seafood,0.0,0.0,835.0,12.9,3.7,0.7,0.1,1.0,20.4,0.04
Cereales,1.0,0.0,1750.0,9.09,0.909,76.4,21.8,5.45,9.09,0.255
Plant-based foods and beverages,11.0,0.0,1740.0,13.3,6.67,66.7,3.33,3.33,8.33,1.53
Plant-based foods and beverages,11.0,0.0,1950.0,20.0,10.0,63.3,1.67,1.67,10.0,1.5
Plant-based foods and beverages,11.0,0.0,1880.0,15.0,7.5,68.3,3.33,1.67,8.33,1.73
Sugary snacks,4.0,0.0,1340.0,20.8,13.6,25.6,18.4,0.0,5.6,0.176
Beverages,1.0,0.0,205.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0
Dairies,2.0,0.0,1640.0,32.1,17.9,3.57,3.57,0.0,21.4,0.964
Plant-based foods and beverages,2.0,0.0,1620.0,1.61,0.0,74.2,12.9,0.0,19.4,0.71
Plant-based foods and beverages,8.0,0.0,1590.0,3.45,1.72,89.7,41.4,10.3,3.45,0.466
Sugary snacks,8.0,0.0,1460.0,0.0,0.0,85.0,62.5,0.0,0.0,0.0375
Desserts,2.0,0.0,1242.0,4.7,2.4,58.1,49.2,3.4,3.1,0.0906
Sugary snacks,2.0,0.0,2090.0,22.5,20.0,62.5,52.5,5.0,12.5,0.138
Spreads,1.0,0.0,2260.0,32.4,4.05,54.1,51.4,2.7,8.11,0.135
Sugary snacks,2.0,0.0,2090.0,31.6,15.8,55.3,50.0,2.63,10.5,0.0658
Sugary snacks,1.0,0.0,2040.0,30.2,18.6,60.5,55.8,2.33,6.98,0.0814
Peanut-butter-cup,4.0,0.0,2090.0,29.5,11.4,59.1,52.3,2.27,9.09,0.295
Sugary snacks,3.0,0.0,2090.0,29.5,11.4,59.1,52.3,2.27,9.09,0.295
Sugary snacks,5.0,0.0,2289.0,20.7,12.5,58.1,51.7,3.4,3.6,0.28
Spreads,0.0,0.0,3032.0,81.3,49.4,0.8,0.7,0.5,0.6,0.63
Fruit juices,1.0,0.0,205.0,0.1,0.1,11.1,11.1,0.4,0.2,0.1
Groceries,0.0,0.0,364.0,0.4,0.1,14.9,14.4,2.0,4.7,0.2
Frozen foods,0.0,0.0,781.0,8.0,0.667,26.7,5.33,2.67,5.33,0.507
Groceries,2.0,0.0,618.0,13.1,4.1,3.28,1.64,0.0,1.64,0.0492
Groceries,2.0,0.0,754.0,16.4,8.2,3.28,1.64,0.0,3.28,0.672
Groceries,3.0,0.0,268.0,1.6,0.0,11.2,9.6,0.8,2.4,0.272
Plant-based foods and beverages,0.0,0.0,268.0,2.8,0.0,8.0,5.6,1.6,1.6,0.408
Sweeteners,0.0,0.0,1704.0,0.5,0.1,99.0,99.0,0.5,0.5,0.00394
fr:Flapjack,2.0,0.0,1905.0,22.3,11.2,54.6,29.0,4.2,6.9,0.27
Plant-based foods and beverages,2.0,0.0,1490.0,7.14,0.0,71.4,3.57,10.7,10.7,0.571
Dairies,6.0,0.0,369.0,0.882,0.588,16.5,15.3,0.588,3.53,0.0647
Dairies,0.0,0.0,279.0,3.56,2.22,4.89,4.89,0.0,3.56,0.0511
Salty snacks,6.0,0.0,2172.322,33.0,9.6,52.7,2.6,2.7,4.0,0.592
Sugary snacks,1.0,0.0,920.0,17.0,10.0,20.0,15.0,2.0,4.0,0.04
Sugary snacks,0.0,0.0,2400.0,45.0,27.5,37.5,12.5,15.0,12.5,0.0375
Sugary snacks,1.0,0.0,1990.0,32.5,17.5,60.0,47.5,0.0,5.0,0.0
Sugary snacks,1.0,0.0,1990.0,32.5,17.5,60.0,47.5,0.0,5.0,0.125
Sugary snacks,0.0,0.0,2510.0,55.0,32.5,30.0,7.5,12.5,10.0,0.025
Sugary snacks,1.0,0.0,2290.0,35.7,21.4,54.8,54.8,2.38,7.14,0.107
Sugary snacks,1.0,0.0,2200.0,35.0,22.5,47.5,45.0,5.0,5.0,0.0375
Sugary snacks,1.0,0.0,2290.0,35.7,16.7,50.0,45.2,2.38,9.52,0.119
